"23"	"Jacksonville School Dist 117"	"Jacksonville School District 117"	"1"
"1"	"Prairie Grove School Dist 23"	"Prairie Grove School District 23"	"0"
"27"	"Weld Co SD Re-6 Greeley"	"Weld County School District Re-6 Greeley"	"0"
"76"	"Greenfield Union Sch Dist"	"Greenfield Union School District"	"0"
"33"	"Chicago Ridge Sch Dist 127-5"	"Chicago Ridge School District 127-5"	"0"
"21"	"Limestone Co School District"	"Limestone County School District"	"1"
"5"	"Antioch Cmty Cons Sch Dist 34"	"Antioch Community Consolidated School District 34"	"0"
"1"	"Hitchcock Ind School District"	"Hitchcock Independent School District"	"1"
"2"	"Great Bend Unif Sch Dist 428"	"Great Bend Unified School District 428"	"1"
"3"	"Coldwater Exempted Village SD"	"Coldwater Exempted Village School District"	"1"
"3"	"Cloudcroft Municipal Schools"	"Cloudcroft Municipal Schools"	"1"
"9"	"Shippensburg Area School Dist"	"Shippensburg Area School District"	"1"
"9"	"Forest Park School District 91"	"Forest Park School District 91"	"0"
"83"	"Lynwood Unified School Dist"	"Lynwood Unified School District"	"1"
"1"	"Lowell Area School District"	"Lowell Area School District"	"0"
"142"	"Berwyn South School Dist 100"	"Berwyn South School District 100"	"0"
"95"	"Peach Co School District"	"Peach County School District"	"1"
"1"	"Savannah School District R3"	"Savannah School District R3"	"0"
"2"	"Rsu 28/Sad 28"	"Rsu 28/Sad 28"	"0"
"3"	"Crawford Ausable School Dist"	"Crawford Ausable School District"	"0"
"13"	"Transylvania Co School Dist"	"Transylvania County School District"	"0"
"1"	"Minooka Cmty Cons Sch Dist 201"	"Minooka Community Consolidated School District 201"	"0"
"6"	"Sumner-Fredericksburg Schools"	"Sumner-Fredericksburg Schools"	"0"
"1"	"Gurnee School District 56"	"Gurnee School District 56"	"0"
"2"	"Missouri Valley Cmty Sch Dist"	"Missouri Valley Community School District"	"1"
"1"	"Ashburnham Westminster Reg SD"	"Ashburnham Westminster Reg School District"	"0"
"19"	"Central Kitsap School Dist 401"	"Central Kitsap School District 401"	"0"
"1"	"Summerville Union Hs Dist"	"Summerville Union Hs District"	"0"
"3"	"Guttenberg School District"	"Guttenberg School District"	"0"
"15"	"Charles City Cmty Sch District"	"Charles City Community School District"	"1"
"1"	"West Chester Area School Dist"	"West Chester Area School District"	"1"
"2"	"Northwestern Cusd 2"	"Northwestern Cusd 2"	"0"
"3"	"Sac Cmty School District"	"Sac Community School District"	"1"
"10"	"Tri-County Area School Dist"	"Tri-County Area School District"	"1"
"1639"	"Wake Co School District"	"Wake County School District"	"0"
"4"	"Mcintosh School District 15-1"	"Mcintosh School District 15-1"	"0"
"8"	"Beverly Public School District"	"Beverly Public School District"	"0"
"106"	"Anchorage School District"	"Anchorage School District"	"1"
"7"	"Hatch Valley School District"	"Hatch Valley School District"	"0"
"7"	"Pennsbury School District"	"Pennsbury School District"	"1"
"5"	"Midland Cmty Unit Sch Dist 7"	"Midland Community Unit School District 7"	"1"
"1"	"Van Alstyne Ind School Dist"	"Van Alstyne Independent School District"	"1"
"1"	"Meredosia-chambersburg SD 11"	"Meredosia-chambersburg School District 11"	"0"
"2"	"Nineveh-hensley-jackson SD"	"Nineveh-hensley-jackson School District"	"0"
"1"	"Lasalle Peru Twp Hsd 120"	"Lasalle Peru Township Hsd 120"	"0"
"1"	"Gowanda Central School Dist"	"Gowanda Central School District"	"1"
"14"	"Lancaster School District"	"Lancaster School District"	"1"
"3"	"Woodstock Cmty Unit SD 200"	"Woodstock Community Unit School District 200"	"1"
"3"	"Brandon School District"	"Brandon School District"	"1"
"4"	"Fremont Public School District"	"Fremont Public School District"	"1"
"23"	"Community High School Dist 218"	"Community High School District 218"	"0"
"7"	"Benton Cons High Sch Dist 103"	"Benton Consolidated High School District 103"	"0"
"1"	"Franklin Co Cmty Sch Corp"	"Franklin County Community School Corp"	"0"
"1"	"Prague School District 103"	"Prague School District 103"	"0"
